Date,Open,High,Low,Close,Adj Close,Volume
2020-03-26,40.900002,41.910000,40.520000,41.119999,38.256145,14603080
2020-03-27,41.900002,41.980000,40.830002,41.279999,38.404999,13957741
2020-03-30,40.450001,40.470001,39.810001,40.000000,37.214149,15844511
2020-03-31,40.900002,42.000000,40.299999,41.250000,38.377090,18437812
2020-04-01,41.500000,42.150002,41.060001,41.389999,38.507339,15526972
2020-04-02,40.910000,42.200001,40.799999,42.200001,39.260929,17925949
2020-04-03,42.200001,44.130001,42.099998,42.919998,39.930779,23453686
2020-04-07,43.799999,44.049999,43.290001,43.599998,40.563419,15744812
2020-04-08,43.380001,43.770000,42.919998,43.389999,40.368046,11722957
2020-04-09,43.369999,43.750000,43.000000,43.180000,40.172672,7145378
2020-04-10,43.200001,43.540001,42.419998,42.900002,39.912174,11491107
2020-04-13,42.599998,43.150002,42.139999,42.330002,39.381878,9639575
2020-04-14,42.959999,44.009998,42.650002,43.980000,40.916950,15497813
2020-04-15,44.400002,44.400002,43.009998,43.099998,40.098240,12725632
2020-04-16,42.930000,42.980000,42.080002,42.200001,39.260929,16474414
2020-04-17,42.650002,44.360001,42.650002,44.119999,41.047203,24705534
2020-04-20,43.900002,44.549999,43.630001,44.169998,41.093719,10574384
2020-04-21,43.799999,43.799999,42.509998,42.950001,39.958691,17915440
2020-04-22,42.400002,42.849998,42.070000,42.849998,39.865654,14134878
2020-04-23,42.950001,43.419998,42.560001,42.910000,39.921478,11526581
2020-04-24,42.680000,43.220001,42.619999,42.750000,39.772621,8548382
2020-04-27,42.570000,42.570000,41.299999,42.049999,39.121372,17994905
2020-04-28,42.250000,42.619999,41.560001,42.500000,39.540031,12824280
2020-04-29,42.500000,43.599998,42.160000,43.389999,40.368046,13676570
2020-04-30,43.400002,45.450001,43.400002,45.000000,41.865913,20762296
2020-05-06,44.250000,46.000000,44.250000,45.820000,42.628807,21734492
2020-05-07,46.000000,46.349998,45.520000,45.900002,42.703232,12935875
2020-05-08,45.919998,47.500000,45.919998,46.830002,43.568466,17559929
2020-05-11,47.000000,48.000000,46.480000,46.750000,43.494038,14301994
